aX,aY,aZ,gX,gY,gZ
-0.465,-0.490,0.710,23.682,-18.433,1.343
-0.464,-0.464,0.720,24.475,-17.578,0.000
-0.475,-0.451,0.733,22.461,-15.320,-3.235
-0.482,-0.449,0.737,16.846,-11.230,-6.714
-0.473,-0.459,0.732,10.315,-7.019,-9.827
-0.465,-0.472,0.729,4.822,-4.578,-11.780
-0.469,-0.475,0.726,1.038,-2.930,-12.390
-0.471,-0.469,0.717,-0.183,-1.892,-12.146
-0.465,-0.463,0.718,2.380,-2.869,-11.597
-0.465,-0.459,0.737,7.263,-5.371,-11.047
-0.477,-0.462,0.753,10.376,-6.042,-10.315
-0.480,-0.471,0.753,10.925,-5.188,-8.911
-0.472,-0.474,0.741,10.803,-5.188,-8.057
-0.462,-0.475,0.724,9.338,-6.470,-7.751
-0.455,-0.481,0.709,7.935,-9.155,-7.446
-0.455,-0.481,0.716,7.690,-13.062,-6.897
-0.463,-0.478,0.742,8.728,-15.137,-6.409
-0.474,-0.480,0.763,8.423,-14.526,-5.554
-0.478,-0.481,0.774,6.531,-12.512,-4.517
-0.471,-0.480,0.783,4.333,-11.047,-4.517
-0.471,-0.479,0.791,3.845,-9.888,-5.737
-0.480,-0.486,0.789,2.502,-8.118,-5.920
-0.475,-0.487,0.781,-0.122,-6.653,-5.005
-0.460,-0.478,0.769,-0.061,-7.385,-4.517
-0.452,-0.477,0.755,2.930,-9.460,-4.333
-0.446,-0.492,0.747,5.310,-11.536,-3.052
-0.437,-0.507,0.762,8.057,-13.428,-1.221
-0.441,-0.505,0.788,10.437,-14.099,0.000
-0.452,-0.502,0.807,10.132,-12.634,0.610
-0.456,-0.503,0.818,7.141,-9.338,0.732
-0.454,-0.498,0.814,3.784,-5.493,0.366
-0.449,-0.491,0.799,1.160,-2.502,0.061
-0.436,-0.481,0.786,1.709,-1.526,0.244
-0.427,-0.476,0.778,3.723,-2.136,0.854
-0.422,-0.478,0.774,5.371,-3.601,2.319
-0.422,-0.471,0.778,6.653,-4.456,3.662
-0.426,-0.458,0.784,7.141,-3.784,4.028
-0.433,-0.452,0.786,7.446,-2.563,3.845
-0.441,-0.453,0.791,7.202,-1.953,4.150
-0.446,-0.451,0.800,6.714,-1.282,5.371
-0.446,-0.440,0.809,7.385,-0.366,6.287
-0.440,-0.426,0.817,8.850,0.244,6.165
-0.435,-0.415,0.820,10.559,0.610,5.371
-0.436,-0.411,0.814,12.024,1.038,3.906
-0.438,-0.414,0.800,12.024,1.404,2.563
-0.434,-0.420,0.786,11.108,0.916,1.587
-0.432,-0.426,0.777,10.010,-0.244,0.671
-0.434,-0.431,0.773,9.277,-1.465,0.183
-0.435,-0.432,0.776,8.850,-2.625,0.488
-0.439,-0.432,0.783,8.545,-3.723,0.977
-0.443,-0.431,0.793,8.179,-3.540,1.526
-0.443,-0.424,0.802,7.019,-2.197,1.831
-0.439,-0.410,0.804,6.104,-1.404,1.221
-0.436,-0.399,0.806,7.080,-1.587,-0.305
-0.438,-0.400,0.802,8.545,-1.770,-1.648
-0.438,-0.407,0.790,10.132,-2.014,-2.136
-0.435,-0.417,0.783,11.597,-2.625,-2.197
-0.433,-0.429,0.781,11.597,-3.418,-2.014
-0.432,-0.434,0.781,10.132,-4.395,-1.404
-0.428,-0.431,0.783,8.911,-5.737,-0.916
-0.426,-0.422,0.786,8.606,-7.080,-0.732
-0.424,-0.416,0.788,9.399,-8.240,-0.549
