aX,aY,aZ,gX,gY,gZ
0.177,0.524,1.870,154.053,-351.990,-64.087
0.099,0.530,1.896,140.442,-309.448,-101.501
0.119,0.507,1.952,134.338,-262.512,-142.700
0.183,0.462,2.011,148.560,-211.487,-184.265
0.225,0.416,1.996,163.818,-156.128,-220.886
0.324,0.340,1.961,164.001,-100.952,-252.502
0.436,0.229,1.937,156.494,-53.284,-280.884
0.514,0.123,1.891,145.630,-12.878,-300.781
0.566,0.015,1.847,141.418,24.109,-309.204
0.574,-0.077,1.819,153.015,61.462,-307.861
0.579,-0.111,1.803,165.955,99.060,-304.687
0.606,-0.117,1.814,164.368,131.042,-305.664
0.667,-0.119,1.846,145.569,155.945,-309.570
0.757,-0.136,1.816,104.858,175.964,-310.730
0.786,-0.210,1.687,52.551,191.345,-304.199
0.698,-0.301,1.553,6.042,203.735,-287.781
0.550,-0.368,1.477,-27.344,214.966,-264.038
0.444,-0.400,1.406,-48.218,226.868,-232.422
0.422,-0.380,1.318,-58.777,234.985,-198.059
0.421,-0.322,1.238,-59.692,234.375,-165.710
0.396,-0.274,1.153,-52.734,223.206,-135.803
0.321,-0.282,1.057,-41.626,204.285,-104.858
0.209,-0.327,0.982,-28.992,186.646,-71.655
0.136,-0.344,0.943,-22.217,172.180,-38.513
0.093,-0.308,0.900,-20.691,156.555,-11.536
0.029,-0.234,0.878,-20.325,141.235,6.348
-0.062,-0.134,0.908,-23.315,131.042,15.137
-0.149,-0.038,0.946,-34.119,127.991,16.663
-0.186,0.030,0.946,-49.011,126.587,14.343
-0.178,0.075,0.898,-60.120,121.338,11.353
-0.165,0.091,0.823,-62.073,110.596,8.606
-0.166,0.098,0.756,-54.626,96.375,7.324
-0.184,0.109,0.707,-43.457,80.566,6.836
-0.219,0.092,0.676,-34.851,64.575,6.104
-0.258,0.049,0.655,-30.457,50.415,6.653
-0.279,0.007,0.644,-31.738,38.025,9.094
-0.275,-0.010,0.648,-35.583,26.917,13.062
-0.276,0.010,0.670,-36.926,17.456,16.663
-0.300,0.061,0.706,-35.645,10.620,17.456
-0.329,0.122,0.743,-33.081,6.592,13.733
-0.354,0.166,0.768,-30.151,5.127,6.775
-0.365,0.170,0.775,-29.663,5.127,-0.305
-0.358,0.137,0.761,-30.334,4.456,-4.456
-0.346,0.097,0.739,-28.748,2.380,-5.493
-0.336,0.061,0.726,-24.719,-0.916,-3.723
-0.329,0.037,0.723,-19.104,-5.127,-0.183
-0.329,0.040,0.738,-11.902,-9.888,3.662
-0.341,0.066,0.775,-4.883,-13.123,4.700
-0.363,0.092,0.811,-2.136,-14.832,2.380
-0.384,0.098,0.842,-2.747,-14.771,-1.221
-0.401,0.092,0.875,-4.333,-11.780,-4.639
-0.403,0.083,0.897,-6.287,-7.812,-6.958
-0.391,0.067,0.901,-7.080,-5.493,-7.202
-0.376,0.050,0.889,-6.287,-5.127,-5.432
-0.363,0.038,0.872,-4.150,-6.836,-3.113
-0.357,0.031,0.862,-0.305,-10.010,-1.099
-0.357,0.024,0.864,4.700,-13.062,0.671
-0.360,0.019,0.873,9.949,-15.747,2.258
-0.361,0.015,0.896,13.916,-18.372,3.113
-0.366,0.008,0.933,14.099,-19.592,3.357
-0.375,0.006,0.966,10.376,-18.677,2.991
-0.376,0.018,0.984,5.005,-16.785,1.709
-0.374,0.035,0.990,-0.244,-15.015,-0.427
-0.377,0.040,0.989,-3.296,-13.611,-2.991
-0.377,0.037,0.987,-4.761,-12.207,-4.395
-0.372,0.031,0.984,-5.798,-10.681,-4.517
-0.366,0.019,0.979,-4.883,-9.583,-3.906
-0.365,0.002,0.976,-2.686,-8.667,-2.441
-0.364,-0.011,0.981,-1.221,-7.507,-0.488
-0.364,-0.006,0.988,-1.953,-5.554,1.343
-0.365,0.015,0.987,-3.418,-3.357,1.526
-0.368,0.040,0.981,-3.540,-1.892,-1.038
-0.366,0.048,0.977,-2.319,-1.099,-5.127
-0.357,0.037,0.975,-0.671,-0.610,-7.874
-0.352,0.018,0.967,1.099,-0.366,-8.789
-0.352,-0.004,0.957,2.502,-0.610,-8.545
-0.352,-0.026,0.951,2.930,-1.038,-7.202
-0.347,-0.038,0.946,1.587,-1.587,-5.188
-0.341,-0.037,0.939,0.122,-2.808,-3.174
-0.341,-0.026,0.937,0.061,-4.761,-1.770
-0.346,-0.013,0.950,1.526,-5.615,-0.916
-0.352,-0.003,0.968,2.991,-5.005,-1.038
-0.353,-0.003,0.979,3.174,-3.967,-1.465
-0.350,-0.010,0.981,1.892,-2.930,-1.648
-0.349,-0.020,0.975,-0.793,-2.319,-1.343
-0.343,-0.030,0.965,-3.113,-2.380,-0.854
-0.336,-0.032,0.958,-4.395,-2.930,0.000
-0.336,-0.024,0.957,-3.845,-3.052,0.366
-0.341,-0.015,0.962,-1.526,-2.075,0.122
-0.342,-0.009,0.966,0.427,-1.038,0.305
-0.339,-0.001,0.966,2.075,-0.549,0.793
-0.337,0.006,0.968,2.930,-0.488,0.549
-0.348,0.010,0.972,2.075,0.427,-0.610
-0.358,0.013,0.973,-0.610,2.319,-2.441
-0.353,0.010,0.968,-3.540,4.089,-3.845
-0.341,0.009,0.955,-4.822,4.700,-4.333
-0.333,0.010,0.944,-3.723,4.028,-4.333
-0.333,0.002,0.940,-1.526,2.869,-4.333
-0.338,-0.007,0.939,-0.671,2.014,-3.601
-0.340,-0.012,0.937,-0.549,1.221,-2.563
-0.339,-0.016,0.934,-0.977,0.000,-1.221
-0.338,-0.015,0.931,-1.587,-1.160,0.183
-0.336,-0.012,0.928,-2.014,-1.709,1.038
-0.333,-0.005,0.926,-1.709,-2.136,1.404
-0.331,0.008,0.930,-0.671,-2.747,0.977
-0.335,0.023,0.941,1.099,-3.052,-0.366
-0.344,0.028,0.953,2.197,-2.625,-2.502
-0.348,0.017,0.959,1.648,-1.648,-4.456
-0.347,0.001,0.956,-0.305,-0.549,-5.615
-0.345,-0.012,0.946,-3.052,0.305,-5.920
-0.339,-0.020,0.935,-5.005,1.038,-5.554
-0.332,-0.021,0.925,-5.615,1.648,-4.822
-0.328,-0.018,0.916,-4.822,1.526,-4.150
-0.327,-0.017,0.911,-3.418,0.610,-3.296
-0.324,-0.013,0.909,-1.160,-1.160,-2.258
-0.321,-0.010,0.911,2.014,-3.540,-1.831
-0.321,-0.014,0.920,5.005,-5.920,-1.892
-0.327,-0.026,0.934,6.042,-7.324,-1.831

0.541,0.057,2.271,182.861,14.832,-289.307
0.521,0.010,2.335,161.194,73.059,-300.049
0.509,-0.067,2.336,127.014,130.493,-313.110
0.509,-0.152,2.286,82.703,188.843,-324.768
0.536,-0.225,2.205,31.189,244.995,-331.116
0.585,-0.273,2.097,-18.433,297.913,-327.515
0.658,-0.278,1.957,-52.979,342.590,-312.012
0.725,-0.233,1.792,-72.632,373.596,-285.461
0.766,-0.174,1.646,-74.890,390.503,-255.005
0.766,-0.161,1.512,-64.331,393.494,-225.830
0.722,-0.236,1.306,-46.997,377.686,-192.932
0.657,-0.359,1.029,-28.259,350.830,-155.090
0.557,-0.501,0.774,-14.038,319.275,-114.929
0.428,-0.638,0.588,-6.104,277.649,-73.120
0.296,-0.739,0.437,-7.629,225.586,-30.273
0.167,-0.782,0.343,-18.982,172.791,10.071
0.058,-0.756,0.346,-36.987,127.625,43.457
-0.010,-0.656,0.417,-62.256,90.698,71.655
-0.043,-0.491,0.479,-94.055,62.256,95.154
-0.051,-0.282,0.500,-115.173,34.973,111.328
-0.061,-0.024,0.519,-110.107,8.484,114.136
-0.123,0.208,0.557,-85.876,-15.198,101.196
-0.223,0.310,0.619,-58.838,-31.982,77.698
-0.305,0.291,0.692,-42.236,-37.476,53.833
-0.357,0.219,0.743,-39.429,-33.142,35.522
-0.385,0.143,0.748,-44.006,-24.292,23.865
